23.98,6.459
21.52,6.193
7.74,6.75
4.81,7.249
18.06,5.454
5.9,6.487
2.94,6.998
6.36,7.163
17.44,6.749
4.56,6.975
30.81,5.399
4.59,6.968
5.81,6.169
15.76,5.928
14.81,5.813
23.27,6.629
5.5,7.007
7.12,3.561
11.22,6.358
14.65,6.376
18.34,5.637
15.71,5.889
22.74,6.824
12.12,5.012
9.1,5.874
2.98,6.854
11.97,6.279
21.32,6.003
5.7,7.079
3.01,7.645
9.64,5.859
8.58,6.127
14.0,4.963
16.3,5.924
1.73,7.489
7.79,6.398
4.82,7.155
7.9,6.266
13.61,5.731
10.53,6.014
12.43,6.012
20.45,6.377
9.93,6.879
21.78,6.223
11.1,6.319
7.22,6.619
12.4,6.095
8.65,6.54
4.16,6.826
18.03,6.185
8.93,6.616
6.36,6.481
24.56,5.52
4.73,7.358
8.23,6.453
19.37,6.405
4.85,6.812
18.71,6.728
7.51,6.167
8.16,6.442
10.21,5.682
15.94,5.782
14.15,5.786
13.15,6.153
10.15,6.226
4.74,7.041
13.65,5.92
8.47,5.834
23.34,4.138
22.98,5.683
6.86,6.145
13.34,5.871
5.98,6.49
9.22,5.927
18.13,6.185
4.32,6.595
7.26,7.52
16.29,6.167
16.51,5.599
7.6,6.315
16.22,6.436
9.62,6.389
14.44,5.966
9.43,6.115
15.69,5.837
12.93,6.23
22.88,5.627
13.27,6.009
11.38,6.897
7.7,6.041
14.67,5.99
23.69,6.38
8.1,5.878
3.76,7.82
17.58,5.879
23.09,5.344
13.35,5.983
11.34,6.163
13.09,5.594
8.01,6.037
9.38,6.375
18.66,5.836
5.33,7.147
14.1,5.648
10.63,6.405
10.58,6.312
3.54,8.259
3.59,6.438
6.21,6.211
7.39,6.51
7.53,6.849
9.14,6.421
8.77,5.85
7.88,6.03
3.7,7.929
18.33,5.914
4.03,7.185
6.65,6.625
19.88,5.813
6.9,6.842
9.09,6.144
23.98,5.404
15.03,5.822
18.05,6.461
7.19,6.482
26.82,5.403
19.52,6.406
9.5,6.59
3.76,6.552
4.61,6.874
9.16,6.108
14.52,6.202
6.53,6.63
6.56,6.718
15.12,6.129
9.45,6.144
6.78,6.273
6.48,6.794
9.67,6.593
15.39,6.431
16.23,6.301
21.02,5.57
12.67,6.112
7.2,6.426
23.6,5.536
3.56,7.148
4.21,8.069
14.76,5.713
24.91,5.304
3.33,6.861
3.53,6.957
8.79,5.885
8.44,6.121
10.45,6.254
13.27,6.395
12.03,6.425
13.44,7.313
4.08,7.287
12.14,5.877
12.33,6.167
15.02,6.411
12.92,6.019
10.27,6.14
2.87,7.178
14.8,5.888
11.28,5.727
24.1,6.162
6.92,6.86
5.12,8.704
9.25,5.876
9.47,6.182
29.05,6.434
5.03,6.8
12.6,6.458
14.7,6.081
9.42,6.727
12.03,5.88
34.02,5.935
23.24,6.649
16.94,5.936
26.42,5.468
8.05,5.663
9.8,5.869
3.11,7.61
4.45,7.135
11.5,5.705
28.32,5.186
3.16,7.47
14.27,6.004
16.9,5.942
14.1,5.794
16.44,6.251
3.95,6.816
4.38,6.604
13.0,5.856
17.11,5.713
9.5,6.762
6.72,6.417
14.64,5.803
6.59,6.24
24.08,6.38
14.79,7.014
9.53,6.216
17.64,6.348
11.32,6.402
11.41,5.841
5.19,6.393
6.72,6.302
9.59,7.203
5.99,6.635
16.42,6.701
18.72,6.142
10.56,5.895
4.54,6.635
11.66,6.98
7.37,6.606
9.71,6.951
8.26,5.949
17.15,5.952
5.5,6.25
5.52,6.065
6.29,6.315
6.05,7.267
13.33,3.863
9.68,5.933
6.15,6.312
18.06,5.783
4.63,8.725
14.37,5.87
13.51,5.888
11.98,6.674
6.36,6.516
4.56,6.556
14.13,5.759
5.08,6.431
7.56,7.765
3.95,8.247
27.38,5.531
20.32,6.343
9.81,6.101
27.26,5.613
7.01,7.061
8.1,7.206
8.05,7.104
17.16,5.565
29.55,5.412
18.85,6.485
30.63,4.368
8.51,6.059
23.29,6.103
5.33,6.546
30.59,5.453
25.79,6.782
14.69,5.572
7.83,6.031
27.71,5.95
13.04,6.072
2.47,8.337
10.88,6.086
37.97,4.138
19.92,5.747
26.4,5.617
6.68,6.782
9.04,6.416
20.85,5.39
10.29,6.513
4.86,6.982
10.13,5.966
10.45,5.56
17.27,6.297
10.26,6.096
10.59,6.249
6.58,5.935
18.76,6.051
5.49,7.241
9.69,6.642
9.51,6.565
20.08,5.155
12.01,5.707
12.34,6.232
8.2,6.405
31.99,5.0
5.68,6.563
17.21,6.968
11.74,5.708
7.44,8.297
5.1,6.951
18.07,5.983
15.55,6.229
5.29,8.78
17.6,6.212
16.96,6.335
18.46,5.605
3.73,6.683
3.53,6.758
29.53,4.926
16.47,5.851
10.4,6.009
6.12,6.415
7.79,7.333
7.14,6.209
10.42,5.762
5.04,6.98
14.19,6.251
11.64,5.854
13.0,6.195
30.62,4.88
3.11,7.454
9.28,6.567
5.21,6.43
13.99,6.317
29.29,4.903
13.44,6.137
17.27,5.96
30.81,5.277
13.59,5.926
4.84,6.77
10.19,5.362
14.59,6.454
21.24,6.794
6.57,6.108
16.65,5.628
14.81,5.986
12.86,6.015
18.13,5.926
22.6,5.713
19.69,6.833
4.67,6.29
3.81,7.853
10.87,5.891
9.55,6.069
17.28,6.047
5.29,6.727
26.45,6.152
17.09,6.092
29.97,5.852
2.88,8.034
19.15,6.172
14.66,6.064
6.43,6.066
16.21,5.913
21.22,6.657
17.79,6.341
5.25,7.412
3.92,7.686
29.93,5.631
7.54,6.245
